num,sf,shift,LM,MW,C,N,P,O,cansmi,envlab,mw,P_oxidation_state,P_valence
Lan3-CMP416,C28H31N2O3PS,28.3,CDCl3,506.596101,28,2,1,3,OP(=O)C(c1c(O)ccc2c1cccc2)Nc1scc(n1)C1CC(C1)(C)c1c(C)cc(cc1C)C,C1H1O1O2,506.6080000000004,5,5.0
Lan3-CMP417,C28H31N2O7P,19.7,CDCl3,538.528700999999,28,2,1,7,CCOC(=O)C(C1(C(C#N)C#N)c2ccccc2-c2c1cccc2)C(P(=O)(OCC)OCC)C(=O)OCC,C1O1O1O2,538.5370000000003,5,5.0
Lan3-CMP419,C28H31N4O3P,22.53,CDCl3,502.544501,28,4,1,3,CCOP(=O)(C(N=C(c1ccccc1)c1ccccc1)Cc1nnn(c1)Cc1ccccc1)OCC,C1O1O1O2,502.5550000000003,5,5.0
Lan3-CMP420,C28H31N4O3P,23.76,CDCl3,502.544501,28,4,1,3,CCOP(=O)(C(Cc1cnnn1Cc1ccccc1)N=C(c1ccccc1)c1ccccc1)OCC,C1O1O1O2,502.5550000000002,5,5.0
Lan3-CMP421,C28H31N4O3P,23.79,CDCl3,502.544501,28,4,1,3,CCOP(=O)(C(N=C(c1ccccc1)c1ccccc1)Cc1nnn(c1)c1ccc(cc1)C)OCC,C1O1O1O2,502.5550000000003,5,5.0
Lan3-CMP422,C28H31N4O4P,23.87,CDCl3,518.543901,28,4,1,4,CCOP(=O)(C(Cc1nnn(c1)c1ccc(cc1)OC)N=C(c1ccccc1)c1ccccc1)OCC,C1O1O1O2,518.5540000000002,5,5.0
Lan3-CMP432,C28H33O5P,22.63,CDCl3,480.532381,28,0,1,5,CCOP(=O)(C(c1ccc(cc1)/C=C/c1ccccc1OC)Cc1ccccc1OC)OCC,C1O1O1O2,480.54100000000034,5,5.0
Lan3-CMP438,C28H35N4O5P,28.9,CDCl3,538.575060999999,28,4,1,5,CCOP(=O)(C(C(C)C)NC(=O)c1ccc(cc1)N(Cc1ccc2c(c1)c(=O)[nH]c(n2)C)CC#C)OCC,C1O1O1O2,538.5850000000003,5,5.0
Lan3-CMP442,C28H36N3O7P,20.1,CDCl3,557.575100999998,28,3,1,7,CCCCOP(=O)(C(c1ccccc1)NC(=O)c1ccccc1Oc1nc(OC)cc(n1)OC)OCCCC,C1O1O1O2,557.5840000000001,5,5.0
Lan3-CMP462,C22H41O6P,-1.8,CDCl3,432.531101000001,22,0,1,6,CC1CCC(C(C1)OOP(=O)(C(=O)C)OOC1CC(C)CCC1C(C)C)C(C)C,C1O1O1O2,432.5380000000002,5,5.0
Lan3-CMP465,C28H45O5P,-3.5,CDCl3,492.627661000001,28,0,1,5,COc1ccccc1C(=O)P(=O)(OC1C[C@H](C)CC[C@H]1C(C)C)OC1C[C@H](C)CC[C@H]1C(C)C,C1O1O1O2,492.63700000000034,5,5.0
Lan3-CMP466,C28H45O5P,-3.1,CDCl3,492.627661000001,28,0,1,5,COc1ccccc1C(=O)P(=O)(OC1C[C@H](C)CC[C@H]1C(C)C)OC1C[C@H](C)CC[C@H]1C(C)C,C1O1O1O2,492.63700000000034,5,5.0
Lan3-CMP467,C29H45O7P,19.8,CDCl3,536.637160999999,29,0,1,7,O=Cc1ccc2c(c1)OC(O2)C(P(=O)(OC1CC(C)CCC1C(C)C)OC1CC(C)CCC1C(C)C)O,C1O1O1O2,536.6460000000004,5,5.0
Lan3-CMP471,C28H47O5P,20.98,CDCl3,494.643541000001,28,0,1,5,COc1ccccc1C(P(=O)(OC1CC(C)CCC1C(C)C)OC1CC(C)CCC1C(C)C)O,C1O1O1O2,494.6530000000003,5,5.0
Lan3-CMP472,C28H47O5P,21.13,CDCl3,494.643541000001,28,0,1,5,COc1ccccc1[C@H](P(=O)(OC1CC(C)CCC1C(C)C)OC1CC(C)CCC1C(C)C)O,C1O1O1O2,494.6530000000003,5,5.0
Lan3-CMP473,C29H50Cl2NO4P,-5.47,CDCl3,578.591360999998,29,1,1,4,CCCCCCCCCCCCCCCCCC(=C)NCCOP(=O)(Oc1ccc(cc1Cl)Cl)OCC,O1O1O1O2,578.6020000000001,5,5.0
Lan3-CMP477,C28H49BrNO5P,-5.46,CDCl3,590.570120999998,28,1,1,5,CCCCCCCCCCCCCCCCCC(=O)NCCOP(=O)(Oc1ccccc1Br)OCC,O1O1O1O2,590.58,5,5.0
Lan3-CMP478,C28H49BrNO5P,-5.11,CDCl3,590.570120999998,28,1,1,5,CCCCCCCCCCCCCCCCCC(=O)NCCOP(=O)(Oc1ccc(cc1)Br)OCC,O1O1O1O2,590.58,5,5.0
Lan3-CMP479,C28H49ClNO5P,-5.21,CDCl3,546.119120999999,28,1,1,5,CCCCCCCCCCCCCCCCCC(=O)NCCOP(=O)(Oc1cccc(c1)Cl)OCC,O1O1O1O2,546.129,5,5.0
